2471 - 00,03,05,14,25,26,35,37,38,39,51,65,69,73,75,77,79,84,90,98
2470 - 00,04,06,14,23,25,33,37,42,49,53,56,60,61,62,69,84,91,96,97
2469 - 07,10,11,15,23,29,31,35,36,47,60,61,65,68,70,86,92,93,97,99
2468 - 01,04,06,14,15,20,32,40,43,45,54,57,67,74,75,81,92,93,94,99
2467 - 06,07,09,10,13,14,18,20,22,23,25,32,34,41,44,50,56,65,71,84
2466 - 03,05,13,21,24,28,30,32,35,36,42,55,61,62,70,73,83,86,91,94
2465 - 07,13,28,29,30,34,35,40,43,59,63,64,75,76,80,81,85,87,93,99
2464 - 08,10,11,16,17,18,24,26,29,41,45,51,54,59,70,80,87,94,96,97
2463 - 01,03,04,05,08,09,18,19,24,30,31,58,60,67,70,75,77,79,86,90
2462 - 00,21,22,27,28,29,33,36,40,43,48,50,52,56,61,63,73,92,95,97
2461 - 18,19,20,21,22,26,27,30,33,34,50,51,55,61,63,69,82,88,89,90
2460 - 01,08,24,27,34,37,48,50,55,56,58,61,63,65,67,73,79,83,92,94
2459 - 07,31,34,36,37,38,44,46,47,51,54,58,59,66,71,84,87,90,92,95
2458 - 03,05,06,07,09,11,16,20,22,24,35,36,49,57,58,67,69,80,83,88
2457 - 04,05,06,07,11,18,22,24,27,33,36,41,61,67,68,83,87,88,96,98
2456 - 01,04,11,12,18,23,28,35,40,42,46,48,53,55,58,63,80,83,88,97
2455 - 00,01,07,12,14,22,27,30,40,42,46,60,61,65,85,86,87,92,95,97
2454 - 05,11,16,21,28,44,47,54,55,60,62,66,73,76,78,80,88,95,96,97
2453 - 02,03,06,12,18,19,20,23,25,50,51,53,58,65,76,81,85,89,94,95
2452 - 06,07,17,19,20,26,27,30,31,35,52,63,66,68,72,77,81,84,86,98
2451 - 15,17,19,20,22,24,25,26,38,46,50,53,56,57,62,66,78,82,90,94
2450 - 05,09,19,21,22,28,45,53,65,67,71,75,81,83,85,86,92,94,95,98
2449 - 00,03,14,15,17,18,32,34,37,46,52,54,59,60,62,73,85,87,91,94
2448 - 07,09,18,20,21,28,29,35,38,39,42,61,64,70,73,76,78,87,89,90
2447 - 04,05,07,15,39,40,44,51,55,60,62,68,74,75,76,77,80,88,95,97
2446 - 01,11,23,25,34,39,44,47,56,65,67,72,74,78,80,89,91,92,98,99
2445 - 04,18,19,23,24,30,33,42,43,46,52,53,55,63,65,71,80,82,89,93
2444 - 00,06,13,29,31,33,42,48,51,52,58,63,64,82,84,87,88,90,94,98
2443 - 00,07,08,15,30,33,51,57,60,68,69,74,75,76,78,84,85,89,92,93
2442 - 03,04,06,08,14,15,19,23,31,34,48,49,52,60,77,82,85,89,91,93
2441 - 00,01,03,04,09,11,13,24,25,36,39,49,64,65,67,75,82,88,96,97
2440 - 04,05,06,08,19,24,27,33,40,42,43,50,52,56,69,83,88,89,90,95
2439 - 04,13,18,35,37,39,41,47,48,53,57,64,65,67,73,80,81,82,86,87
2438 - 01,04,12,13,22,28,31,32,41,44,53,55,64,73,88,89,92,93,95,99
2437 - 06,11,14,15,23,25,27,28,33,38,41,42,45,49,50,51,52,63,69,96
2436 - 00,03,34,35,36,42,45,56,62,63,66,72,73,75,83,87,89,92,93,95
2435 - 08,09,25,27,29,31,35,40,44,46,47,64,71,72,75,78,79,88,94,98
2434 - 02,04,05,10,12,18,26,29,31,35,59,63,64,68,73,76,77,81,84,98
2433 - 12,25,26,29,34,38,42,47,50,56,65,66,72,74,80,85,87,90,93,99
2432 - 02,05,11,12,15,20,23,35,36,44,45,53,57,64,68,71,75,78,82,99
2431 - 05,06,11,12,13,14,16,20,34,46,52,61,62,66,80,82,83,89,91,98
2430 - 02,03,04,05,12,18,30,33,35,39,42,50,53,55,73,78,84,87,95,97
2429 - 02,11,14,17,24,32,34,45,54,59,60,63,67,68,71,77,79,83,86,93
2428 - 01,03,16,22,26,31,37,48,54,55,56,61,62,64,73,78,82,92,96,99
2427 - 01,16,17,22,24,29,34,39,42,48,50,51,64,69,73,75,77,81,89,96
2426 - 00,16,17,18,19,26,28,35,39,40,43,58,67,69,75,77,78,85,90,95
2425 - 13,14,19,23,34,35,36,42,43,49,58,63,67,68,77,82,92,95,97,98
2424 - 02,03,10,13,26,33,39,48,50,51,56,57,60,67,74,78,80,84,90,94
2423 - 02,06,07,11,12,15,20,21,24,29,32,34,35,39,54,59,60,78,84,88
2422 - 06,07,17,26,30,31,33,36,42,44,48,51,53,56,58,61,73,81,86,95
2421 - 04,11,22,24,27,32,34,37,49,57,64,69,70,71,76,77,86,93,95,97
2420 - 01,04,05,08,09,22,25,26,51,64,66,68,70,72,74,78,79,91,94,95
2419 - 06,16,29,35,41,44,46,52,57,62,63,79,84,85,87,88,91,93,94,96
2418 - 04,18,21,31,32,34,35,36,40,42,45,48,50,59,68,75,82,87,93,97
2417 - 02,10,14,15,21,31,39,46,51,52,55,60,61,64,65,80,81,85,86,92
2416 - 08,18,37,40,44,47,50,54,63,64,65,67,68,74,78,81,84,87,88,95
2415 - 02,07,11,27,32,39,47,60,61,62,64,69,70,71,74,81,87,91,94,95
